VISA;TITRE;REALISATEUR;PRODUCTEURS;DEVIS;GENRE;EOF;RANG;ASR;PAYANTE;CLAIR;NATIONALITE;Date;DECOMPOSITION;AIDES
146183;15 minutes de guerre;GRIVOIS Fred;CAPTURE THE FLAG FILMS;4 737 388,00;Fiction;OUI;2;;C+ Ciné+;C8;France;2017;France-100;Sofica,Crédit D'impot
146149;Ami-ami;SAINT MACARY Victor;NORD OUEST FILMS;2 903 872,00;Fiction;OUI;1;après;C+ Ciné+;;France;2017;France-100;Sofica,Crédit D'impot
146198;Belle et la meute (La);BEN HANIA Kaouther;TANIT FILMS;776 381,00;Fiction;NON;3;;TV5;;Tunisie/France;2017;Tunisie-71 / France-29;
147039;Grande-Synthe;CAMURAT JAUD Beatrice;J+B SÉQUENCES;305 720,00;Docu;OUI;1;;;;France;2017;France-100;Crédit D'impot
128766;Maman est morte;LE MASNE Christophe;TAKAMI PRODUCTIONS;1 028 057,00;Fiction;OUI;1;;Ciné+;;France;2017;France-100;Crédit D'impot,Aide Régionale
147019;Mon brillantissime divorce;LAROQUE Michele;NOLITA CINÉMA ET PRINCESSE BELI;5 963 775,00;Fiction;OUI;1;;C+ Ciné+ TV5;F2;France;2017;France-100;Sofica,Crédit D'impot,Aide Régionale
146078;Prière (La);KAHN Cédric;LES FILMS DU WORSO;3 995 474,00;Fiction;OUI;3;avant;C+ Ciné+;Arte;France;2017;France-100;Sofica,Crédit D'impot
139218;Sun;DESOINDRE Jonathan;LES PRODUITS FRAIS ET ROUGE INTERNATIONAL;2 117 140,00;Fiction;OUI;1;avant;Ciné+;;France;2017;France-100;Crédit D'impot,Aide Régionale
145863;Tristes Monroes;SCHMIDT Daniel / ABRANTES Gabriel;LES FILMS DU BÉLIER;1 310 810,00;Fiction;NON;2 / 1;;;;Portugal/France/Brésil;2017;Portugal-51 / France-29 / Brésil-20;
145290;Cornélius, le meunier hurlant;LE QUELLEC Yann;AGAT FILMS ET CIE;4 701 761,00;Fiction;OUI;1;avant;C+ Ciné+;;France;2016;France-100;Sofica,Crédit D'impot,Aide Régionale
137631;Fameuse invasion de la Sicile par les ours (La);MATTOTI Lorenzo;PRIMA LINEA PRODUCTIONS;12 031 501,00;Anim;OUI;2;avant;C+;F3;France/Italie;2016;France-87 / Italie-13;Crédit D'impot,Aide Régionale
145156;Kinoa;MARTIN Jean-Loup;CENDRANE FILMS;190 557,00;Anim;OUI;1;;;;France;2016;France-100;
144040;Paris la blanche;TERKI Lidia;DAY FOR NIGHT PRODUCTIONS;1 548 834,00;Fiction;OUI;1;avant;Ciné+;;France;2016;France-100;Crédit D'impot,Aide Régionale
145491;Un berger à l'Elysée;CARLES Pierre / LESPINASSE Philippe;CP PRODUCTIONS;171 759,00;Docu;OUI;3 / 2;;;;France;2016;France-100;Crédit D'impot,Aide Régionale
143108;Julie-Aïcha;EL MAANOUNI Ahmed;XAY PRODUCTIONS;640 410,00;Fiction;OUI;3;;;;Maroc/France;2016;Maroc-70 / France-30;
142651;Stefan Zweig, adieu l'Europe;SCHRADER Maria;IDEALE AUDIENCE;3 485 200,00;Fiction;NON;3;;;Arte;Allemagne/France/Autriche;2016;Allemagne-69 / France-21 / Autriche-10;
110823;AUX ABOIS;COLLIN Philippe;ARTE FRANCE CINEMA / BC FILMS;2 183 115,00;Fiction;;3;avant;;;France;2004;France-100;Crédit D'impot,Aide Régionale
111282;DADDY, DADDY USA;HODGSON Pierre;MK2;825 005,00;Documentaire;;1;avant;;;France;2004;France-100;Crédit D'impot
